Label	Weight	Text
l_OnAssistant-prenotazione	1	mercoledi
l_OnAssistant-prenotazione	1	disponibilità che vanno dal sabato al martedì
l_OnAssistant-prenotazione	1	il mercoledi giovedì e venerdi al pomeriggio
l_OnAssistant-prenotazione	1	desidero le disponibilità del pomeriggio
l_OnAssistant-prenotazione	1	preferirei al pomeriggio
l_OnAssistant-prenotazione	1	come posso prenotare gli appuntamenti?
l_OnAssistant-prenotazione	1	prenota un appuntamento
l_OnAssistant-prenotazione	1	orario mattiniero
l_OnAssistant-prenotazione	1	cancella un appuntamento
l_OnAssistant-prenotazione	1	spostare appuntamento
l_OnAssistant-prenotazione	1	prenota una prenotazione
l_OnAssistant-prenotazione	1	vedere appuntamenti
l_OnAssistant-prenotazione	1	disponibilità tra il giovedì e la domenica di pomeriggio
l_OnAssistant-prenotazione	1	nuovo appuntamento
l_OnAssistant-prenotazione	1	prenotami un appuntamento
l_OnAssistant-prenotazione	1	gestire le mie prenotazioni
l_OnAssistant-prenotazione	1	eseguire una nuova prenotazione
l_OnAssistant-prenotazione	1	gestire appuntamenti
l_OnAssistant-prenotazione	1	vorrei modificare
l_OnAssistant-prenotazione	1	cambiare un appuntamento
l_OnAssistant-prenotazione	1	da giovedi fino alla domenica
l_OnAssistant-prenotazione	1	prenota una nuova prenotazione
l_OnAssistant-prenotazione	1	lunedì martedì mercoledì e anche la domenica
l_OnAssistant-prenotazione	1	gestione appuntamento
l_OnAssistant-prenotazione	1	preferisco dal lunedì al giovedi
l_OnAssistant-prenotazione	1	prenota un nuovo appuntamento
l_OnAssistant-prenotazione	1	prenotare nuovo
l_OnAssistant-prenotazione	1	appuntamento
l_OnAssistant-prenotazione	1	è possibile fermare una prenotazione?
l_OnAssistant-prenotazione	1	voglio rimuovere una prenotazione
l_OnAssistant-prenotazione	1	vorrei gestire le mie prenotazioni grazie
l_OnAssistant-prenotazione	1	di mattina dal venerdì alla domenica
l_OnAssistant-prenotazione	1	vorrei eliminare un appuntamento grazie
l_OnAssistant-prenotazione	1	posso cancellare un appuntamento?
l_OnAssistant-prenotazione	1	prenota appuntamento
l_OnAssistant-prenotazione	1	vorrei rimandare un appuntamento grazie
l_OnAssistant-prenotazione	1	preferirei il martedi e il sabato
l_OnAssistant-refertazione	3,7	mostrare i referti
l_OnAssistant-refertazione	3,7	vorrei vedere i miei referti
l_OnAssistant-refertazione	3,7	fammi vedere i miei referti perfavore
l_OnAssistant-refertazione	3,7	come posso vedere i referti medici?
l_OnAssistant-refertazione	3,7	visualizzare i miei referti
l_OnAssistant-refertazione	3,7	mostrare i referti
l_OnAssistant-refertazione	3,7	mostrare i referti
l_OnAssistant-refertazione	3,7	mostrare i referti
l_OnAssistant-refertazione	3,7	mostrare i referti
l_OnAssistant-refertazione	3,7	mostrare i referti
None	1,608696	che ore sono?
None	3,217391	riservare una camera
None	1,608696	com'è il tempo oggi
None	1,608696	che film danno al cinema?
None	1,608696	canzone
None	1,608696	pasta
None	1,608696	tempo
None	1,608696	pizza
None	1,608696	che giorno è oggi?
None	1,608696	aereo
None	1,608696	prenotami un volo
None	1,608696	consigliami una canzone
None	1,608696	albergo
None	1,608696	quali film ci sono al cinema?
None	3,217391	risultato partite di calcio
None	1,608696	è possibile prenotare una camera per un albergo?
None	1,608696	hotel
None	1,608696	voglio un piatto di pasta
None	1,608696	film
None	3,217391	raccontami una barzelletta
